"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"10-23-2025","josecuervotequila","111,221","-6","1","185","185","-0.0054%","0","1","0","163","22","#CuervoPartner, #CuervoCollective"
"10-23-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","casamigos","289,851","1","0","0","0","0.0003%","0","0","0","0","0",""
"10-23-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","drink818","1,190,933","-70","0","0","0","-0.0059%","0","0","0","0","0",""
"10-23-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","espolontequila","64,458","18","0","0","0","0.0279%","0","0","0","0","0",""
"10-23-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-23-2025","patron","431,163","21","0","0","0","0.0049%","0","0","0","0","0",""
"10-23-2025","tequilacazadores","37,894","-9","1","27","27","-0.0237%","0","1","0","26","1","#TequilaCAZADORES, #RealTequilaForRealPeople, #AwardShow"
"10-23-2025","teremana","778,427","-73","0","0","0","-0.0094%","0","0","0","0","0",""
"10-24-2025","josecuervotequila","111,269","48","0","0","0","0.0432%","","0","0","0","0",""
"10-24-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","casamigos","289,875","24","0","0","0","0.0083%","0","0","0","0","0",""
"10-24-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","drink818","1,190,947","14","0","0","0","0.0012%","0","0","0","0","0",""
"10-24-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","espolontequila","64,480","22","0","0","0","0.0341%","0","0","0","0","0",""
"10-24-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-24-2025","patron","431,624","461","1","875","875","0.1069%","1","0","0","864","11","#PATRONTequila, #PATRONCitrusCircuit, #COTA"
"10-24-2025","tequilacazadores","37,893","-1","0","0","0","-0.0026%","0","0","0","0","0",""
"10-24-2025","teremana","778,408","-19","0","0","0","-0.0024%","0","0","0","0","0",""
"10-25-2025","josecuervotequila","111,289","20","0","0","0","0.0180%","","0","0","0","0",""
"10-25-2025","1800tequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","casamigos","289,866","-9","0","0","0","-0.0031%","0","0","0","0","0",""
"10-25-2025","donjuliotequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","drink818","1,190,875","-72","0","0","0","-0.0060%","0","0","0","0","0",""
"10-25-2025","eljimadortequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","espolontequila","64,510","30","0","0","0","0.0465%","0","0","0","0","0",""
"10-25-2025","hornitostequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","lunazultequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","milagrotequila","","","0","0","0","","","0","0","0","0",""
"10-25-2025","patron","431,858","234","1","563","563","0.0542%","0","0","1","554","9","#PatronCristalino, #PATRONTequila, #CDMXGP"
