"Date","TikTok Profiles","Published Posts","Net Follower Growth","Followers","Video Views","Impressions","Engagements","Engagement Rate (per Impression)","Likes","Comments","Shares","Profile Views"
"09-03-2025","'@devilsreserve","0","0","13","8","8","0","0%","0","0","0","1"
"09-04-2025","'@devilsreserve","0","1","14","6","6","0","0%","0","0","0","3"
"09-05-2025","'@devilsreserve","1","1","15","59","59","1","1.69%","1","0","0","2"
"09-06-2025","'@devilsreserve","0","0","15","28","28","3","10.71%","3","0","0","1"
"09-07-2025","'@devilsreserve","0","0","15","9","9","0","0%","0","0","0","0"
"09-08-2025","'@devilsreserve","0","1","16","26","26","4","15.38%","4","0","0","7"
"09-09-2025","'@devilsreserve","0","0","16","3","3","0","0%","0","0","0","2"
"09-10-2025","'@devilsreserve","0","0","16","9","9","0","0%","0","0","0","0"
"09-11-2025","'@devilsreserve","0","0","16","2","2","0","0%","0","0","0","1"
"09-12-2025","'@devilsreserve","0","0","16","3","3","0","0%","0","0","0","0"
"09-13-2025","'@devilsreserve","0","0","16","4","4","0","0%","0","0","0","0"
"09-14-2025","'@devilsreserve","0","0","16","9","9","2","22.22%","2","0","0","9"
"09-15-2025","'@devilsreserve","0","0","16","7","7","0","0%","0","0","0","4"
"09-16-2025","'@devilsreserve","0","0","16","2","2","0","0%","0","0","0","3"
"09-17-2025","'@devilsreserve","0","0","16","13","13","0","0%","0","0","0","1"
"09-18-2025","'@devilsreserve","0","1","17","5","5","0","0%","0","0","0","0"
"09-19-2025","'@devilsreserve","0","0","17","18","18","-3","-16.67%","2","-5","0","2"
"09-20-2025","'@devilsreserve","0","1","18","8","8","1","12.5%","1","0","0","2"
"09-21-2025","'@devilsreserve","0","0","18","5","5","0","0%","0","0","0","3"
"09-22-2025","'@devilsreserve","0","0","18","5","5","0","0%","0","0","0","2"
"09-23-2025","'@devilsreserve","0","0","18","0","0","0","0%","0","0","0","4"
"09-24-2025","'@devilsreserve","0","0","18","8","8","0","0%","0","0","0","1"
"09-25-2025","'@devilsreserve","1","0","18","185","185","2","1.08%","2","0","0","2"
"09-26-2025","'@devilsreserve","0","0","18","114","114","2","1.75%","2","0","0","0"
"09-27-2025","'@devilsreserve","0","0","18","15","15","0","0%","0","0","0","0"
"09-28-2025","'@devilsreserve","0","0","18","7","7","0","0%","0","0","0","3"
"09-29-2025","'@devilsreserve","0","0","18","14","14","0","0%","0","0","0","4"
"09-30-2025","'@devilsreserve","0","0","18","16","16","0","0%","0","0","0","3"
"10-01-2025","'@devilsreserve","0","1","19","3","3","0","0%","0","0","0","0"
"10-02-2025","'@devilsreserve","0","0","19","1","1","0","0%","0","0","0","0"
